IATA,Likely Ports (ranked),Sample snippet
ADA,Port of | Miami | Bayonne | Baltimore | Boston | Seattle | Port of Miami | San Diego,"All terminals comply with ADA standards, offering ramps, elevators, and wheelchair assistance; request in advance via cruise line. Hotels within 2 miles often provide shuttles (free or $5-15/person), "
ANC,Boston | San Diego | Los Angeles | San Pedro | Miami | Galveston | Seattle | Port Canaveral,- **Seward (Alaska Railroad Dock; ~20 sailings; Rating: 4.2/5)**: Glacier-ringed fjord town. **Tips**: Fly ANC; train/bus transfer (2.5 hrs). Oddity: Remote—bears/marine life sightings. Expedite: RCL 
ASL,,"Accessibility: Ramps, braille, ASL interpreters available. Check ship-specific features."
BOS,Boston | Baltimore | New Orleans | Miami | San Diego | Cape Liberty | Galveston | Seattle,- **Boston (Flynn Cruiseport; ~40 sailings; Rating: 4.0/5)**: Historic Black Falcon terminal. **Tips**: Fly BOS (close); Seaport eats pre-board. Oddity: Urban congestion—tall ships nearby. Expedite: A
BUR,Bayonne | Baltimore | New Orleans | Galveston | Los Angeles | Long Beach | Seattle,"| Los Angeles, CA | Los Angeles International (LAX) | 20 mi / 32 km | 30–50 min | $30–$50 | Burbank (BUR), Long Beach (LGB) |"
BWI,Baltimore | Cape Liberty | New Orleans | Bayonne | Galveston | Port of NOLA | Port of Baltimore | Miami,- **Baltimore (Port of Baltimore; 50 sailings; Rating: 4.0/5)**: Harbor charm—crab cakes! **Tips**: Fly BWI (15 mins); Inner Harbor walk. Oddity: Shares with cargo—occasional smells. Expedite: Self-as
DCA,Baltimore | New Orleans | Galveston | Port Canaveral | Tampa | Fort Lauderdale | Miami | Port of Canaveral,"| Baltimore, MD | Baltimore-Washington (BWI) | 10 mi / 16 km | 15–25 min | $15–$25 | Reagan (DCA), Dulles (IAD) |"
EWR,Cape Liberty | Bayonne | New Orleans | Galveston | Port of | Seattle | Port of NOLA | Baltimore,- **Cape Liberty (Bayonne; 62 sailings; Rating: 3.9/5)**: NYC gateway—Statue views. **Tips**: Fly EWR (20 mins); Jersey City ferry. Oddity: Industrial feel—cargo ships loom. Expedite: Quantum-class au
FAQ,,"The reason for these rules? Cruise ship electrical systems are designed differently from home setups—surge protectors can trip breakers or overheat due to grounding issues, and overloads pose fire ris"
FLL,Miami | Port Canaveral | Port of Canaveral | Fort Lauderdale | Port Everglades | Baltimore | Port of Everglades | Boston,"- **Fort Lauderdale (Port Everglades; 193 sailings; Rating: 4.2/5)**: ""Venice of America""—canal views en route. **Tips**: Fly FLL (5 mins away); walkable to beaches. Oddity: Multi-terminal shuffle (RC"
HNL,San Diego | Los Angeles | San Pedro | Port Canaveral | Cape Liberty | Baltimore | Boston | Tampa,- **Honolulu (Pier 2/10; ~10 sailings; Rating: 4.0/5)**: Aloha Tower landmark. **Tips**: Fly HNL; Waikiki nearby. Oddity: Urban-Hawaiian mix—lei greetings. Expedite: App check; porters fast. **Reviews
HOU,Galveston | Tampa | Miami | Port Canaveral | Port of Canaveral | PortMiami | Port Everglades | Fort Lauderdale,- **Galveston (Port of Galveston; 150 sailings; Rating: 4.4/5)**: Island escape—beaches galore. **Tips**: Fly HOU (45 mins); beach day pre-sail. Oddity: Only Lyft (no Uber) at port—walk across street 
IAD,Port Canaveral | Baltimore | Tampa | Fort Lauderdale | Miami | New Orleans | Galveston | Port of Canaveral,"| Baltimore, MD | Baltimore-Washington (BWI) | 10 mi / 16 km | 15–25 min | $15–$25 | Reagan (DCA), Dulles (IAD) |"
IAH,Galveston | Tampa | Miami | Port Canaveral | Port of Canaveral | Port Everglades | Port of Everglades | Fort Lauderdale,- **Galveston (Port of Galveston; 150 sailings; Rating: 4.4/5)**: Island escape—beaches galore. **Tips**: Fly HOU (45 mins); beach day pre-sail. Oddity: Only Lyft (no Uber) at port—walk across street 
